#options: 1080x1920 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=798 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:64 out:66 type:b dur:2 cpbdur:2 q:47.76 aq:47.39 tex:4159 mv:7112 misc:3297 imb:167 pmb:767 smb:7226 d:- ref:0 ;
in:66 out:67 type:b dur:2 cpbdur:2 q:47.81 aq:47.61 tex:4734 mv:6648 misc:3122 imb:139 pmb:784 smb:7237 d:- ref:0 ;
in:71 out:68 type:P dur:2 cpbdur:2 q:47.73 aq:45.10 tex:15808 mv:13694 misc:4114 imb:1968 pmb:423 smb:5769 d:- ref:0 ;
in:69 out:69 type:B dur:2 cpbdur:2 q:47.78 aq:45.78 tex:8130 mv:11552 misc:3974 imb:404 pmb:1018 smb:6738 d:- ref:0 ;
in:68 out:70 type:b dur:2 cpbdur:2 q:47.80 aq:47.71 tex:4485 mv:6727 misc:3092 imb:159 pmb:750 smb:7251 d:- ref:0 ;
in:70 out:71 type:b dur:2 cpbdur:2 q:47.76 aq:46.46 tex:4541 mv:6426 misc:2961 imb:152 pmb:721 smb:7287 d:- ref:0 ;
in:75 out:72 type:P dur:2 cpbdur:2 q:47.67 aq:43.88 tex:18642 mv:14432 misc:4366 imb:2249 pmb:399 smb:5512 d:- ref:0 ;
in:73 out:73 type:B dur:2 cpbdur:2 q:47.70 aq:45.56 tex:5744 mv:10163 misc:3773 imb:323 pmb:878 smb:6959 d:- ref:0 ;
in:72 out:74 type:b dur:2 cpbdur:2 q:47.72 aq:47.43 tex:3423 mv:5563 misc:2670 imb:113 pmb:633 smb:7414 d:- ref:0 ;
in:74 out:75 type:b dur:2 cpbdur:2 q:47.69 aq:46.25 tex:2981 mv:5335 misc:2580 imb:96 pmb:591 smb:7473 d:- ref:0 ;
in:77 out:76 type:P dur:2 cpbdur:2 q:47.69 aq:44.81 tex:7946 mv:8577 misc:4005 imb:924 pmb:410 smb:6826 d:- ref:0 ;
